specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1007851708862195712,1237657770165666002,0.06873164,1.3551E-05,19.093,17.14224,16.21777,15.76775,15.41056,0.03949566,0.004971446,0.003726813,0.003668738,0.006842338
1016757475132598272,1237657770172875002,0.09377047,1.230369E-05,18.36953,17.04623,16.41018,15.99898,15.75889,0.02498875,0.004595792,0.003974573,0.004093512,0.009358367
1021258050650007552,1237657769639674002,0.07559066,1.135985E-05,19.08932,17.80944,17.20036,16.79634,16.59029,0.0404928,0.007428618,0.006373808,0.006938202,0.01980564
1101175229822035968,1237655129846580002,0.2791954,5.716497E-05,22.00552,19.79993,18.14235,17.51515,17.13273,0.3548246,0.02500561,0.01031454,0.008829657,0.02402207
1132692735111751680,1237657589776974002,0.1337551,1.612983E-05,19.9369,18.45679,17.52661,16.99107,16.65983,0.09475663,0.01216501,0.008446437,0.008060127,0.0195127
1182201544905353216,1237659132750070002,0.2767428,6.770431E-05,21.7456,19.69557,18.12124,17.52508,17.17292,0.4158299,0.026057,0.01159596,0.009738616,0.02665797
1316208923123935232,1237659330849014002,0.04388328,6.466271E-06,18.93629,17.81061,17.34715,17.06363,16.89526,0.04475281,0.007744555,0.007087379,0.008059037,0.02142339
1334280494375790592,1237658300056667002,0.09919468,2.796314E-05,19.79833,17.87219,16.91517,16.50167,16.1522,0.04797181,0.006167336,0.004279615,0.00436952,0.007789837
1358968104335468544,1237660959183602002,0.1821716,5.124702E-05,20.01988,18.28925,17.37043,16.91875,16.6332,0.1243336,0.01264567,0.008232147,0.00817159,0.02120068
1365718561007364096,1237660963477455002,0.04698097,1.35912E-05,18.28679,16.99857,16.42379,16.09886,15.8621,0.02132686,0.004187376,0.003741998,0.003960063,0.008619829
1646155875968116736,1237661968508584002,0.1073125,1.826892E-05,20.50707,18.34754,17.54215,17.13178,16.82982,0.1405253,0.009185744,0.007072988,0.007101665,0.01710805
1994023494408497152,1237662525233103002,0.2350195,3.998134E-05,21.01186,18.79628,17.33784,16.80973,16.44326,0.2146298,0.01552704,0.007305761,0.007322433,0.01961963
2191087587957958656,1237664879414608002,0.1102638,2.403364E-05,19.77742,17.88431,16.86975,16.4323,16.06195,0.07237599,0.007159522,0.004969348,0.004582045,0.0102152
